date,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph
2/23/2014,13,3,16
2/24/2014,13,3,15
2/25/2014,14,5,28
2/26/2014,26,10,38
2/27/2014,22,8,32
2/28/2014,25,10,32
8/29/2013,16,5,16
8/30/2013,15,2,18
8/31/2013,14,2,20
9/1/2013,14,4,16
9/2/2013,14,4,19
9/3/2013,19,2,20
9/4/2013,15,0,20
9/5/2013,16,1,114
9/6/2013,8,0,8
9/7/2013,0,0,13
9/8/2013,5,0,9
9/9/2013,7,0,10
9/10/2013,6,0,6
9/11/2013,12,1,15
9/12/2013,14,2,18
9/13/2013,17,3,17
9/14/2013,15,2,16
9/15/2013,15,2,16
9/16/2013,17,2,18
9/17/2013,23,3,32
9/18/2013,11,2,15
9/19/2013,12,2,15
9/20/2013,16,2,18
9/21/2013,11,2,15
9/22/2013,16,4,21
9/23/2013,15,4,18
9/24/2013,17,5,28
9/25/2013,28,6,28
9/26/2013,15,3,17
9/27/2013,9,1,14
9/28/2013,11,2,15
9/29/2013,19,2,19
9/30/2013,13,2,19
10/1/2013,18,2,18
10/2/2013,16,2,16
10/3/2013,15,4,19
10/4/2013,18,3,23
10/5/2013,11,1,12
10/6/2013,8,1,12
10/7/2013,13,2,15
10/8/2013,13,2,114
10/9/2013,14,1,18
10/10/2013,14,2,17
10/11/2013,14,2,16
10/12/2013,28,2,114
10/13/2013,14,2,114
10/14/2013,28,3,28
10/15/2013,28,2,28
10/16/2013,28,2,28
10/17/2013,28,3,28
10/18/2013,28,2,28
10/19/2013,28,1,28
10/20/2013,14,1,28
10/21/2013,14,1,14
10/22/2013,14,1,28
10/23/2013,14,1,14
10/24/2013,7,1,14
10/25/2013,14,1,14
10/26/2013,8,1,14
10/27/2013,20,3,23
10/28/2013,22,4,26
10/29/2013,8,1,14
10/30/2013,14,2,114
10/31/2013,14,1,14
11/1/2013,14,1,28
11/2/2013,14,1,14
11/3/2013,18,2,18
11/4/2013,13,2,14
11/5/2013,9,1,14
11/6/2013,5,1,14
11/7/2013,12,1,12
11/8/2013,14,1,14
11/9/2013,14,1,14
11/10/2013,14,1,14
11/11/2013,5,1,14
11/12/2013,14,1,14
11/13/2013,14,1,14
11/14/2013,14,1,14
11/15/2013,14,2,15
11/16/2013,14,2,16
11/17/2013,14,1,14
11/18/2013,14,1,14
11/19/2013,28,2,28
11/20/2013,86,4,114
11/21/2013,14,3,114
11/22/2013,6,1,7
11/23/2013,6,1,14
11/24/2013,14,1,14
11/25/2013,14,1,14
11/26/2013,14,0,14
11/27/2013,14,1,14
11/28/2013,14,2,14
11/29/2013,14,1,14
11/30/2013,14,1,14
12/1/2013,14,1,14
12/2/2013,14,1,14
12/3/2013,17,4,19
12/4/2013,14,2,14
12/5/2013,14,1,28
12/6/2013,16,2,16
12/7/2013,20,5,26
12/8/2013,14,2,14
12/9/2013,14,1,14
12/10/2013,14,1,14
12/11/2013,14,1,14
12/12/2013,14,1,114
12/13/2013,14,1,14
12/14/2013,14,1,14
12/15/2013,14,1,114
12/16/2013,14,1,14
12/17/2013,14,1,28
12/18/2013,14,1,14
12/19/2013,17,3,17
12/20/2013,14,1,14
12/21/2013,14,2,14
12/22/2013,14,1,14
12/23/2013,14,1,114
12/24/2013,14,1,14
12/25/2013,14,1,14
12/26/2013,14,1,14
12/27/2013,14,1,14
12/28/2013,14,2,14
12/29/2013,14,1,14
12/30/2013,14,1,14
12/31/2013,14,1,14
1/1/2014,14,2,14
1/2/2014,14,1,14
1/3/2014,14,1,14
1/4/2014,14,1,14
1/5/2014,14,2,28
1/6/2014,14,1,14
1/7/2014,14,1,14
1/8/2014,14,2,14
1/9/2014,14,2,114
1/10/2014,14,1,14
1/11/2014,20,1,20
1/12/2014,15,3,15
1/13/2014,14,6,14
1/14/2014,14,6,28
1/15/2014,28,4,28
