date,min_temperature_f,min_dew_point_f,min_humidity
12/28/2013,35,29,38
12/29/2013,37,27,28
12/30/2013,35,26,38
12/31/2013,38,29,54
1/1/2014,34,28,53
1/2/2014,37,30,41
1/3/2014,39,31,44
1/4/2014,39,28,40
1/5/2014,34,24,37
1/6/2014,38,29,48
1/7/2014,43,35,52
1/8/2014,45,38,71
1/9/2014,44,38,58
1/10/2014,40,34,57
1/11/2014,43,37,69
1/12/2014,41,34,53
1/13/2014,41,32,38
1/14/2014,41,29,25
1/15/2014,40,29,33
1/16/2014,38,28,33
1/17/2014,37,27,38
1/18/2014,36,28,34
1/19/2014,35,26,33
1/20/2014,36,28,32
1/21/2014,36,27,34
1/22/2014,36,26,26
1/23/2014,38,30,34
1/24/2014,39,30,45
1/25/2014,43,33,31
1/26/2014,44,32,37
1/27/2014,47,40,58
1/28/2014,48,42,66
1/29/2014,56,48,69
1/30/2014,52,42,51
1/31/2014,42,33,37
2/1/2014,36,29,38
2/2/2014,43,34,64
2/3/2014,41,33,52
2/4/2014,38,31,55
2/5/2014,36,29,55
2/6/2014,46,41,70
2/7/2014,49,44,76
2/8/2014,54,48,69
2/9/2014,58,51,62
2/10/2014,51,46,70
2/11/2014,48,42,64
2/12/2014,47,42,62
2/13/2014,48,43,62
2/14/2014,50,44,64
2/15/2014,47,42,71
2/16/2014,47,36,40
2/17/2014,40,33,52
2/18/2014,42,36,49
2/19/2014,48,39,45
2/20/2014,42,35,36
2/21/2014,41,34,33
2/22/2014,43,35,39
2/23/2014,46,40,45
2/24/2014,42,35,36
2/25/2014,47,40,58
2/26/2014,53,45,69
2/27/2014,52,45,49
2/28/2014,53,45,57
8/29/2013,63,59,51
8/30/2013,63,55,37
8/31/2013,62,54,42
9/1/2013,62,51,39
9/2/2013,66,59,54
9/3/2013,60,46,32
9/4/2013,59,51,40
9/5/2013,58,52,40
9/6/2013,54,48,29
9/7/2013,61,43,17
9/8/2013,60,48,27
9/9/2013,62,52,30
9/10/2013,58,53,42
9/11/2013,59,53,46
9/12/2013,62,57,57
9/13/2013,59,55,57
9/14/2013,59,54,57
9/15/2013,58,52,45
9/16/2013,62,53,45
9/17/2013,56,46,36
9/18/2013,55,43,24
9/19/2013,54,37,18
9/20/2013,56,49,50
9/21/2013,57,53,57
9/22/2013,53,47,44
9/23/2013,54,51,39
9/24/2013,58,46,38
9/25/2013,55,41,37
9/26/2013,51,31,22
9/27/2013,49,33,20
9/28/2013,51,30,16
9/29/2013,54,53,46
9/30/2013,57,42,48
10/1/2013,53,40,38
10/2/2013,52,43,31
10/3/2013,51,31,20
10/4/2013,58,23,13
10/5/2013,49,24,11
10/6/2013,51,29,14
10/7/2013,54,24,13
10/8/2013,51,39,29
10/9/2013,50,41,42
10/10/2013,50,37,31
10/11/2013,48,46,52
10/12/2013,46,42,40
10/13/2013,47,41,34
10/14/2013,48,35,22
10/15/2013,47,30,19
10/16/2013,50,33,18
10/17/2013,49,30,16
10/18/2013,49,34,21
10/19/2013,49,44,30
10/20/2013,50,43,33
10/21/2013,51,49,47
10/22/2013,51,49,44
10/23/2013,52,51,63
10/24/2013,50,47,67
10/25/2013,47,46,45
10/26/2013,46,44,38
10/27/2013,50,45,55
10/28/2013,53,40,43
10/29/2013,49,44,52
10/30/2013,44,41,42
10/31/2013,44,40,31
11/1/2013,44,36,23
11/2/2013,45,39,40
11/3/2013,45,26,25
11/4/2013,40,26,22
11/5/2013,44,29,22
11/6/2013,46,32,22
11/7/2013,50,31,20
11/8/2013,46,43,44
11/9/2013,44,30,18
11/10/2013,45,45,52
11/11/2013,52,47,52
11/12/2013,53,43,35
11/13/2013,46,43,33
11/14/2013,49,46,67
11/15/2013,44,36,34
11/16/2013,40,37,39
11/17/2013,45,43,52
11/18/2013,44,42,51
11/19/2013,48,45,56
11/20/2013,53,51,78
11/21/2013,50,23,25
11/22/2013,47,15,12
11/23/2013,40,29,26
11/24/2013,41,36,34
11/25/2013,40,38,39
11/26/2013,43,39,43
11/27/2013,43,41,44
11/28/2013,45,40,37
11/29/2013,43,39,33
11/30/2013,41,38,44
12/1/2013,42,39,40
12/2/2013,42,40,60
12/3/2013,42,21,40
12/4/2013,34,15,24
12/5/2013,29,14,22
12/6/2013,30,20,35
12/7/2013,35,25,39
12/8/2013,31,14,31
12/9/2013,25,13,21
12/10/2013,28,22,32
12/11/2013,31,25,30
12/12/2013,29,26,33
12/13/2013,34,30,40
12/14/2013,34,31,36
12/15/2013,31,31,36
12/16/2013,37,30,28
12/17/2013,40,34,34
12/18/2013,44,38,42
12/19/2013,42,23,36
12/20/2013,35,2,9
12/21/2013,36,20,39
12/22/2013,37,33,29
12/23/2013,38,35,39
12/24/2013,38,35,31
12/25/2013,37,31,32
12/26/2013,37,33,29
12/27/2013,36,32,44
12/28/2013,35,28,26
12/29/2013,36,19,18
12/30/2013,34,27,24
12/31/2013,37,29,44
1/1/2014,35,32,34
1/2/2014,38,32,31
1/3/2014,40,32,30
1/4/2014,38,29,32
1/5/2014,35,22,19
1/6/2014,38,30,36
1/7/2014,44,35,36
1/8/2014,50,43,67
1/9/2014,46,42,61
1/10/2014,41,37,52
1/11/2014,43,40,62
1/12/2014,43,35,44
1/13/2014,43,31,26
1/14/2014,37,13,9
1/15/2014,39,25,20
1/16/2014,39,25,18
1/17/2014,39,29,24
1/18/2014,37,28,22
1/19/2014,36,27,22
1/20/2014,38,27,22
1/21/2014,37,27,24
1/22/2014,38,21,15
1/23/2014,40,29,24
1/24/2014,40,34,40
1/25/2014,44,32,24
1/26/2014,45,29,22
1/27/2014,46,43,48
1/28/2014,48,45,52
1/29/2014,55,49,68
1/30/2014,51,41,51
1/31/2014,44,30,33
2/1/2014,37,21,22
2/2/2014,41,34,59
2/3/2014,39,33,46
2/4/2014,36,33,50
2/5/2014,36,32,43
2/6/2014,46,44,71
2/7/2014,47,46,83
2/8/2014,53,48,72
2/9/2014,57,52,67
2/10/2014,51,50,72
2/11/2014,49,46,60
2/12/2014,49,41,48
2/13/2014,49,46,59
2/14/2014,53,48,64
2/15/2014,48,46,67
2/16/2014,47,33,34
2/17/2014,39,36,42
2/18/2014,43,38,39
2/19/2014,49,40,43
2/20/2014,42,32,29
2/21/2014,42,32,24
2/22/2014,42,33,26
2/23/2014,45,40,35
2/24/2014,44,40,33
2/25/2014,44,43,52
2/26/2014,52,45,66
2/27/2014,52,44,48
2/28/2014,52,46,55
3/1/2014,54,44,48
3/2/2014,53,47,67
3/3/2014,50,47,64
3/4/2014,55,49,67
3/5/2014,54,48,52
3/6/2014,51,48,67
3/7/2014,48,43,44
3/8/2014,46,39,33
3/9/2014,55,48,57
3/10/2014,56,43,45
3/11/2014,47,25,19
3/12/2014,53,23,16
3/13/2014,46,33,27
3/14/2014,53,46,52
3/15/2014,47,41,33
3/16/2014,48,46,47
3/17/2014,49,43,42
3/18/2014,43,31,24
3/19/2014,45,34,27
3/20/2014,50,41,44
3/21/2014,48,44,52
3/22/2014,51,43,44
3/23/2014,48,44,52
3/24/2014,46,38,29
3/25/2014,45,42,62
3/26/2014,53,47,64
3/27/2014,56,43,44
3/28/2014,56,46,49
3/29/2014,53,45,64
3/30/2014,50,41,51
3/31/2014,48,42,66
4/1/2014,46,41,61
4/2/2014,45,39,46
4/3/2014,46,42,51
4/4/2014,50,43,55
4/5/2014,46,43,56
4/6/2014,49,45,49
4/7/2014,51,47,37
4/8/2014,56,50,46
4/9/2014,52,48,56
4/10/2014,51,47,53
4/11/2014,53,48,60
4/12/2014,54,45,60
4/13/2014,53,45,55
4/14/2014,50,48,56
4/15/2014,52,46,56
4/16/2014,50,45,44
4/17/2014,51,47,60
4/18/2014,51,45,56
4/19/2014,52,44,52
